Oradea;Zerind;Arad;Timisoara;Lugoj;Mehadia;Dobreta;Craiova;Pitesti;Rimnicu Vilcea;Sibiu;Fagaras;Bucharest;Giurgiu;Urziceni;Hirsova;Eforie;Vaslui;Iasi;Neamt
0;71;0;0;0;0;0;0;0;0;151;0;0;0;0;0;0;0;0;0
71;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;75;0;118;0;0;0;0;0;0;140;0;0;0;0;0;0;0;0;0
0;0;118;0;111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;111;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;70;0;75;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;75;0;120;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;120;0;138;146;0;0;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;138;0;97;0;0;101;0;0;0;0;0;0;0
0;0;0;0;0;0;0;146;97;0;80;0;0;0;0;0;0;0;0;0
151;0;140;0;0;0;0;0;0;80;0;99;0;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;99;0;211;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;101;0;0;211;0;90;85;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;90;0;0;0;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;85;0;0;98;0;142;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;98;0;86;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;86;0;0;0;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;142;0;0;0;92;0
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;87
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;87;0
